title,body
Define core game fantasy,"Define the player fantasy: playful LLM architect with serious systems underneath."
Define MVP core gameplay loop,"Specify the repeatable experiment → failure → learning → iteration loop."
Define success and failure philosophy,"Clarify how failure teaches and how feedback is delivered."
Define MVP scope boundaries,"Explicitly define what is in and out of MVP scope."
Implement simplified tokenization system,"Create a basic tokenization model suitable for simulation."
Implement pseudo-embedding representation,"Represent token meaning in a simplified, visualizable form."
Implement attention approximation model,"Simulate attention behavior without real tensor math."
Implement multi-layer transformation pipeline,"Chain multiple transformation stages to mimic depth."
Implement context window mechanics,"Model limited context and token forgetting behavior."
Implement sampling logic,"Add temperature and randomness controls to generation."
Implement deterministic replay support,"Ensure runs can be replayed exactly for learning."
Implement token-by-token generation,"Generate output incrementally one token at a time."
Implement per-token probability tracking,"Track probability distribution for each generated token."
Implement attention weight tracking,"Track which tokens attend to which during generation."
Implement generation replay mode,"Allow stepping through generation after completion."
Implement objective system,"Create goal-driven challenges for players."
Implement failure conditions and diagnostics,"Detect failures and surface clear diagnostics."
Implement scoring dimensions,"Score outcomes across multiple dimensions."
Implement unlockable parameters,"Gate advanced controls behind progression."
Implement sandbox mode,"Allow unrestricted experimentation without objectives."
Implement token probability visualization,"Visualize token probabilities during generation."
Implement attention heatmap visualization,"Render attention relationships visually."
Implement context window visualization,"Show context growth and truncation over time."
Implement hallucination indicators,"Highlight unstable or hallucinated output."
Implement live parameter sliders,"Allow real-time tuning of model parameters."
Define playful visual language,"Establish tone, naming, and playful UI copy."
Implement explanation panel,"Provide optional explanations for outcomes."
Implement tooltips and hover hints,"Add lightweight educational hints."
Implement failure feedback UI,"Make failure informative and non-punitive."
Implement save and load system,"Persist experiments and game state."
Implement scenario state persistence,"Persist progress within scenarios."
Implement parameter presets,"Allow saving and loading parameter configurations."
Create intro scenario,"Intro scenario teaching basic failure and iteration."
Create context window failure scenario,"Scenario focused on context limitations."
Create hallucination tradeoff scenario,"Scenario exploring creativity vs accuracy."
Create prompt sensitivity scenario,"Scenario demonstrating prompt brittleness."
Define frontend architecture,"Choose and structure frontend framework."
Define simulation engine boundaries,"Separate simulation logic from UI."
Implement deterministic simulation clock,"Ensure consistent simulation timing."
Implement performance constraints,"Ensure no real ML compute is used."
Implement onboarding flow,"Minimal onboarding to get users playing quickly."
Implement settings panel,"Add basic configurable settings."
Implement error handling,"Handle invalid states gracefully."
Add MVP instrumentation,"Add basic analytics hooks."
Prepare MVP build configuration,"Prepare build and deployment configuration."
Define explicit non-goals,"Document MVP exclusions such as real training or multiplayer."

