title,body
Add guided first-run experience,"Introduce a short, guided first-run flow that explains what the player is looking at and what to do first."
Add contextual inline hints,"Display contextual hints near controls explaining what they affect and when to use them."
Add progressive disclosure of controls,"Hide advanced controls by default and progressively reveal them as the player learns."
Add clear primary call-to-action,"Make it obvious what the player should do next at all times."
Add example prompts library,"Provide a small set of example prompts that demonstrate different LLM behaviors."
Add interactive tutorial scenario,"Create a hands-on tutorial scenario that teaches by doing, not reading."
Add visual explanation of tokenization,"Visually explain what tokens are and how input text becomes tokens."
Add attention visualization explanation,"Explain what the attention visualization represents in simple language."
Add context window explanation,"Explain what the context window is and how it affects generation."
Add sampling controls explanation,"Explain temperature and randomness using plain language and examples."
Add failure explanation overlay,"When output is bad or unexpected, explain why in simple terms."
Add \"Why did this happen?\" breakdown,"Provide a collapsible breakdown explaining the cause of the last output."
Add glossary of key concepts,"Create a lightweight glossary for LLM terms used in the UI."
Add hover-based micro-explanations,"Show short explanations on hover for technical terms."
Add clear reset and undo actions,"Allow users to safely reset or undo experiments without fear."
Add visual progression indicators,"Show players how their understanding is progressing, not just game progress."
Add plain-language labels for controls,"Replace technical labels with friendly explanations where possible."
Add onboarding checklist,"Give players a short checklist of things to try to learn core concepts."
Add end-of-scenario learning summary,"Summarize what the player learned after completing a scenario."
Add accessibility and readability pass,"Improve contrast, spacing, font size, and readability for long sessions."

